"","Year","thickness_type","n"
"260",-921,"light layer",1.8
"261",-920,"dark layer",0.1
"262",-920,"light layer",0.7
"263",-919,"dark layer",0.1
"264",-919,"light layer",0.5
"265",-918,"dark layer",0.2
"266",-918,"light layer",1.2
"267",-917,"dark layer",0.2
"268",-917,"light layer",0.8
"269",-916,"dark layer",0.2
"270",-916,"light layer",0.8
"271",-915,"dark layer",0.1
"272",-915,"light layer",0.6
"273",-914,"dark layer",0.1
"274",-914,"light layer",0.9
"275",-913,"dark layer",0.1
"276",-913,"light layer",0.3
"277",-912,"dark layer",0.1
"278",-912,"light layer",0.2
"279",-911,"dark layer",0.04
"280",-911,"light layer",0.46
"281",-910,"dark layer",0.04
"282",-910,"light layer",0.86
"283",-909,"dark layer",0.04
"284",-909,"light layer",1.06
"285",-908,"dark layer",0.03
"286",-908,"light layer",0.37
"287",-907,"dark layer",0.04
"288",-907,"light layer",1.86
"289",-906,"dark layer",0.1
"290",-906,"light layer",0.8
"291",-905,"dark layer",0.1
"292",-905,"light layer",0.3
"293",-904,"dark layer",0.1
"294",-904,"light layer",1.3
"295",-903,"dark layer",0.2
"296",-903,"light layer",0.8
"297",-902,"dark layer",0.04
"298",-902,"light layer",1.56
"299",-901,"dark layer",0.04
"300",-901,"light layer",1.36
"301",-900,"dark layer",0.1
"302",-900,"light layer",0.9
"303",-899,"dark layer",0.1
"304",-899,"light layer",0.3
"305",-898,"dark layer",0.06
"306",-898,"light layer",0.74
"307",-897,"dark layer",0.1
"308",-897,"light layer",0.8
"309",-896,"dark layer",0.06
"310",-896,"light layer",0.14
"311",-895,"dark layer",0.1
"312",-895,"light layer",3.1
"313",-894,"dark layer",0.1
"314",-894,"light layer",0.4
"315",-893,"dark layer",0.1
"316",-893,"light layer",0.2
"317",-892,"dark layer",0.04
"318",-892,"light layer",0.06
"319",-891,"dark layer",0.2
"320",-891,"light layer",1.6
"321",-890,"dark layer",0.04
"322",-890,"light layer",1.06
"323",-889,"dark layer",0.04
"324",-889,"light layer",0.66
"325",-888,"dark layer",0.1
"326",-888,"light layer",0.2
"327",-887,"dark layer",0.1
"328",-887,"light layer",0.4
"329",-886,"dark layer",0.2
"330",-886,"light layer",0.5
"331",-885,"dark layer",0.04
"332",-885,"light layer",0.56
"333",-884,"dark layer",0.04
"334",-884,"light layer",0.76
"335",-883,"dark layer",0.1
"336",-883,"light layer",0.9
"337",-882,"dark layer",0.1
"338",-882,"light layer",1.3
"339",-881,"dark layer",0.04
"340",-881,"light layer",0.16
"341",-880,"dark layer",0.04
"342",-880,"light layer",0.06
"343",-879,"dark layer",0.04
"344",-879,"light layer",0.26
"345",-878,"dark layer",0.2
"346",-878,"light layer",0.7
"347",-877,"dark layer",0.2
"348",-877,"light layer",0.6
"349",-876,"dark layer",0.1
"350",-876,"light layer",0.5
"351",-875,"dark layer",0.2
"352",-875,"light layer",0.6
"353",-874,"dark layer",0.2
"354",-874,"light layer",1.2
"355",-873,"dark layer",0.04
"356",-873,"light layer",0.56
"357",-872,"dark layer",0.4
"358",-872,"light layer",0.3
"359",-871,"dark layer",0.2
"360",-871,"light layer",0.9
"361",-870,"dark layer",0.04
"362",-870,"light layer",0.86
"363",-869,"dark layer",0.04
"364",-869,"light layer",0.36
"365",-868,"dark layer",0.1
"366",-868,"light layer",0.4
"367",-867,"dark layer",0.04
"368",-867,"light layer",0.36
"369",-866,"dark layer",0.2
"370",-866,"light layer",0.8
"371",-865,"dark layer",0.4
"372",-865,"light layer",1.2
"373",-864,"dark layer",0.03
"374",-864,"light layer",1.37
"375",-863,"dark layer",0.2
"376",-863,"light layer",0.8
"377",-862,"dark layer",0.1
"378",-862,"light layer",0.8
"379",-861,"dark layer",0.2
"380",-861,"light layer",0.6
"381",-860,"dark layer",0.4
"382",-860,"light layer",0.8
"383",-859,"dark layer",0.12
"384",-859,"light layer",0.78
"385",-858,"dark layer",0.1
"386",-858,"light layer",0.7
"387",-857,"dark layer",0.2
"388",-857,"light layer",0.5
"389",-856,"dark layer",0.1
"390",-856,"light layer",0.5
"391",-855,"dark layer",0.1
"392",-855,"light layer",0.5
"393",-854,"dark layer",0.1
"394",-854,"light layer",0.4
"395",-853,"dark layer",0.1
"396",-853,"light layer",0.5
"397",-852,"dark layer",0.1
"398",-852,"light layer",0.6
"399",-851,"dark layer",0.2
"400",-851,"light layer",0.6
"401",-850,"dark layer",0.1
"402",-850,"light layer",1
"403",-849,"dark layer",0.2
"404",-849,"light layer",0.6
"405",-848,"dark layer",0.04
"406",-848,"light layer",0.86
"407",-847,"dark layer",0.2
"408",-847,"light layer",0.7
"409",-846,"dark layer",0.4
"410",-846,"light layer",0.8
"411",-845,"dark layer",0.04
"412",-845,"light layer",0.56
"413",-844,"dark layer",0.2
"414",-844,"light layer",1
"415",-843,"dark layer",0.1
"416",-843,"light layer",1.1
"417",-842,"dark layer",0.1
"418",-842,"light layer",0.3
"419",-841,"dark layer",0.2
"420",-841,"light layer",0.4
"421",-840,"dark layer",0.2
"422",-840,"light layer",0.6
"423",-839,"dark layer",0.04
